10percentage,12percentage,collegeGPA,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Specialization_CE,Specialization_CS,Specialization_EC,Specialization_EL,Specialization_ME,Specialization_other,CollegeState_Andhra Pradesh,CollegeState_Assam,CollegeState_Bihar,CollegeState_Chhattisgarh,CollegeState_Delhi,CollegeState_Goa,CollegeState_Gujarat,CollegeState_Haryana,CollegeState_Himachal Pradesh,CollegeState_Jammu and Kashmir,CollegeState_Jharkhand,CollegeState_Karnataka,CollegeState_Kerala,CollegeState_Madhya Pradesh,CollegeState_Maharashtra,CollegeState_Meghalaya,CollegeState_Orissa,CollegeState_Punjab,CollegeState_Rajasthan,CollegeState_Sikkim,CollegeState_Tamil Nadu,CollegeState_Telangana,CollegeState_Union Territory,CollegeState_Uttar Pradesh,CollegeState_Uttarakhand,CollegeState_West Bengal,GraduationYear_0,GraduationYear_2007,GraduationYear_2009,GraduationYear_2010,GraduationYear_2011,GraduationYear_2012,GraduationYear_2013,GraduationYear_2014,GraduationYear_2015,GraduationYear_2016,GraduationYear_2017,Gender_f,Gender_m,Degree_B.Tech/B.E.,Degree_M.Sc. (Tech.),Degree_M.Tech./M.E.,Degree_MCA,CollegeTier_1,CollegeTier_2
84.3,95.8,78.0,515,585,525,0.635978756456794,445,0,0,0,0,0,0,0.9737,0.8128,0.5269,1.3549,-0.4455,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
85.4,85.0,70.06,695,610,780,0.960603251997053,0,466,0,0,0,0,0,-0.7335,0.3789,1.2396,-0.1076,0.8637,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
85.0,68.2,70.0,615,545,370,0.450876584483451,395,0,0,0,0,0,0,0.2718,1.7109,0.1637,-0.8682,0.6721,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
85.6,83.6,74.64,635,585,625,0.974396112538398,615,0,0,0,0,0,0,0.0464,0.3448,-0.344,-0.4078,-0.9194,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
78.0,76.8,73.9,545,625,465,0.124502074009537,0,233,0,0,0,0,0,-0.880999999999999,-0.2793,-1.0697,0.0916299999999999,-0.1295,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
89.92,87.0,76.32,560,555,620,0.0,645,0,407,0,0,0,0,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
86.08,67.5,72.98,590,435,380,0.356536487724475,405,0,346,0,0,0,0,1.7081,-0.1054,-1.0379,-2.0092,-1.0872,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
92.0,91.0,85.8,545,555,590,0.829584599793067,0,0,0,469,0,0,0,-0.0154,1.2114,0.01,0.1459,1.247,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
90.0,91.2,85.03,615,670,530,0.694479327708463,735,366,0,0,0,0,0,-0.159,0.5454,-0.6048,-0.7415,-0.2859,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
77.0,72.2,78.0,605,565,545,0.493596387301038,385,324,0,0,0,0,0,-1.308,0.5454,-0.9122,0.9066,0.0973,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
88.6,83.7,74.9,565,455,565,0.765673581234011,485,0,0,0,0,0,0,0.0464,0.8128,0.0914,0.1798,0.0284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
81.0,86.0,72.29,495,605,715,0.968237495890543,605,0,0,0,0,0,0,-2.272,1.1248,0.8171,-0.4078,-0.4455,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
83.6,69.83,60.0,380,580,470,0.229481754911755,0,266,0,0,0,206,0,0.1282,0.5454,-0.7585,-0.995,0.8637,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
60.8,62.4,60.0,495,425,645,0.538386892985096,385,333,0,0,0,0,0,0.3555,0.0328,-0.598,-0.2902,-1.2354,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
81.2,79.9,67.67,395,565,645,0.0,495,0,376,0,0,0,0,0.7027,0.7119,0.01,-0.995,0.6721,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
69.54,64.43,63.0,485,520,355,0.308400582860308,355,0,0,0,0,0,0,1.7465,1.9048,0.672,-0.2902,1.2528,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
85.8,74.8,64.8,685,530,620,0.0,515,0,0,0,0,0,0,1.1336,1.0449,0.7785,-0.6147,-0.8608,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
60.8,66.66,74.74,465,585,515,0.911395278391328,545,0,500,0,0,0,0,0.8463,1.0449,-1.0659,-1.6289,0.6721,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
65.0,64.8,69.54,465,495,515,0.563267823666597,425,0,0,0,0,0,0,-0.159,0.3789,1.3933,-0.2344,1.4386,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
79.0,62.2,76.3,485,445,435,0.864685413370085,525,0,0,0,0,0,0,0.8192,0.2668,-0.2714,-0.4078,-0.1295,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
91.2,84.63,78.15,455,535,445,0.635978756456794,445,0,0,0,0,0,0,-0.1082,0.9688,0.5269,-0.2902,0.3444,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
75.67,74.4,74.01,385,555,445,0.635978756456794,445,0,0,0,0,0,0,-1.0355,-0.5913,-1.3599,0.0622299999999999,-1.3539,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
92.5,95.2,76.0,395,455,485,0.0,455,0,0,0,0,0,0,-0.4463,-0.6201,-0.6048,0.7798,-2.7769,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
70.0,43.42,55.52,370,360,270,0.649389714846691,0,356,0,0,0,0,0,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
88.0,90.0,76.0,625,555,630,0.356536487724475,475,0,346,0,0,0,0,0.4155,0.8027,0.1357,-0.995,-0.6692,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
86.8,82.8,78.0,575,585,575,0.744758354008939,565,0,438,0,0,0,0,0.0464,1.2028,-0.9245,0.5323,-0.2875,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
90.88,82.5,66.15,415,335,405,0.884122511593735,535,333,0,313,0,0,320,0.8192,0.1888,-1.7954,1.8249,1.1343,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
76.8,83.0,76.44,535,510,605,0.881620069530177,0,420,0,0,0,0,0,0.99,1.3779,0.7785,-0.2344,-0.6692,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
84.0,68.0,72.0,580,570,385,0.207392169717661,335,260,0,0,0,313,0,0.1282,0.7119,1.3933,-0.3612,-0.0943,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
64.0,74.0,68.0,485,375,435,0.486747008438193,345,0,376,0,0,0,0,-3.1994,-1.8393,0.0552,0.0623,-0.7615,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
84.0,92.0,77.2,475,405,695,0.670743151433127,455,0,0,0,0,0,0,-0.4173,0.6568,-0.0537,-1.2303,-0.9194,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
